feature,importance
TotalDebtToIncomeRatio,0.18517647721837038
MonthlyIncome,0.08078653940256972
LoanDuration,0.023706007840377286
LoanAmount,0.023185263279432933
NetWorth,0.021766669049202925
LengthOfCreditHistory,0.01056286047317161
EducationLevel,0.008229097366930583
BankruptcyHistory,0.008101952396923174
PreviousLoanDefaults,0.004741682657151069
EmploymentStatus,0.0016660801961742688
HomeOwnershipStatus,0.001605394245624714
Age,0.001158393767284771
CreditScore,0.0006932493580896093
PaymentHistory,0.0006704319904990763
TotalAssets,0.0004905734031964926
SavingsAccountBalance,0.00013621693543501844
Experience,0.00013271185788343853
MonthlyDebtPayments,0.00011216248164980236
LoanPurpose,0.00010343415127620493
MaritalStatus,5.374452245716643e-05
TotalLiabilities,4.762781849465547e-05
NumberOfOpenCreditLines,3.711258583991572e-05
NumberOfDependents,9.690508524751173e-06
UtilityBillsPaymentHistory,3.2988965190439145e-06
DebtToIncomeRatio,-2.611626411086476e-06
NumberOfCreditInquiries,-2.7490804326957273e-06
CreditCardUtilizationRate,-7.2163361356958335e-06
AnnualIncome,-7.49124417893654e-06
CheckingAccountBalance,-1.3539221130698386e-05
JobTenure,-2.714716927194605e-05
